model_id,split
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,validation
543,train
544,validation
545,train
546,train
547,train
548,validation
549,train
550,train
551,validation
552,train
553,train
554,train
555,train
556,validation
557,train
558,validation
559,train
560,train
561,train
562,validation
563,train
564,train
565,train
566,validation
567,train
568,train
569,train
570,train
571,train
572,train
573,validation
574,train
575,validation
576,validation
577,train
578,train
579,train
580,train
581,validation
582,train
583,validation
584,train
585,train
586,validation
587,train
588,train
589,train
590,validation
591,train
592,train
593,train
594,validation
595,train
596,train
597,train
598,validation
599,train
600,train
601,train
602,train
603,train
604,validation
605,validation
606,train
607,train
608,train
609,train
610,train
611,train
612,validation
613,validation
614,train
615,train
616,validation
617,train
618,validation
619,train
620,validation
621,validation
622,train
623,train
624,train
625,train
626,validation
627,train
628,train
629,train
630,train
631,validation
632,validation
633,train
634,train
635,train
636,train
637,train
638,train
639,train
640,train
641,train
642,train
643,validation
644,train
645,train
646,train
647,train
648,train
649,train
650,train
651,train
652,train
653,train
655,train
656,train
657,validation
658,validation
659,train
660,train
661,train
662,train
663,train
664,train
665,train
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,train
674,train
675,validation
676,train
677,train
678,train
679,train
680,train
681,train
682,validation
683,validation
684,train
685,train
686,train
687,train
688,train
689,train
690,train
691,train
692,train
693,validation
694,validation
695,validation
696,train
697,train
698,validation
699,train
700,train
701,train
702,validation
703,validation
704,train
705,validation
706,validation
707,validation
708,train
709,train
710,train
711,validation
712,train
713,train
714,validation
715,train
716,train
717,train
718,train
719,train
720,train
721,train
722,validation
723,train
724,train
725,validation
726,train
727,train
728,train
729,train
730,train
731,train
732,train
733,train
734,validation
735,train
736,train
737,validation
738,validation
739,train
740,train
741,train
742,validation
743,validation
744,train
745,train
746,train
747,validation
748,validation
749,train
750,train
751,train
752,train
753,train
754,validation
755,train
756,validation
757,train
758,train
759,validation
760,train
761,train
762,train
763,train
764,train
765,validation
766,train
767,train
768,train
769,train
770,train
771,validation
772,train
773,validation
774,train
775,train
776,train
777,validation
778,train
779,train
780,train
781,train
782,train
783,validation
784,train
785,train
786,train
787,train
788,train
789,validation
790,train
791,train
792,train
793,validation
794,train
795,train
796,train
797,train
798,train
799,train
800,train
801,train
802,train
803,train
804,train
805,train
806,train
807,train
808,train
809,train
810,train
811,train
812,train
813,train
814,train
815,train
816,train
817,validation
818,train
819,train
820,train
821,train
822,train
823,train
824,train
825,train
826,train
827,train
828,train
829,train
830,train
831,train
832,train
833,train
834,validation
835,train
836,train
837,train
838,train
839,train
840,train
841,validation
842,train
843,train
844,validation
845,validation
846,train
847,validation
848,train
849,validation
850,validation
851,train
852,train
853,train
854,validation
855,train
856,train
857,train
858,validation
859,train
860,validation
861,train
862,train
863,train
864,train
865,train
866,train
867,train
868,train
869,train
870,train
871,train
872,train
873,train
874,train
875,validation
876,train
877,validation
878,train
879,validation
880,validation
881,train
882,train
883,train
884,train
885,train
886,train
887,train
888,train
889,train
890,train
891,train
892,train
893,validation
894,train
895,train
896,train
897,train
898,train
899,train
900,train
901,train
902,train
903,train
904,validation
905,validation
906,train
907,validation
908,train
909,train
910,train
911,train
912,train
913,train
914,train
915,train
916,train
917,train
918,train
919,validation
920,train
921,train
922,train
923,validation
924,train
925,train
926,train
927,validation
928,train
929,train
930,train
931,train
932,train
933,train
934,validation
935,train
936,train
937,train
938,train
939,train
940,validation
941,validation
942,train
943,train
944,train
945,train
946,train
947,train
948,train
949,train
950,train
951,validation
952,train
953,train
954,train
955,validation
956,train
957,train
958,train
959,train
960,train
961,validation
962,train
963,validation
964,train
965,train
966,train
967,train
968,train
969,train
970,train
971,validation
972,train
973,validation
974,train
975,train
976,train
977,train
978,train
979,validation
980,train
981,train
982,train
983,validation
984,train
985,train
986,train
987,validation
988,train
989,train
990,train
991,validation
992,train
993,train
994,validation
995,validation
996,train
997,train
998,validation
999,validation
1000,train
1001,train
1002,validation
1003,train
1004,train
1005,train
1006,train
1007,train
1008,train
1009,validation
1010,train
1011,train
1012,validation
1013,validation
1014,train
1015,train
1016,train
1017,validation
1018,train
1019,train
1020,train
1021,train
1022,validation
1023,train
1024,train
1025,train
1026,validation
1027,train
1028,train
1029,validation
1030,train
1031,train
1032,train
1033,train
1034,train
1035,validation
1036,train
1037,validation
1038,train
1039,train
1040,train
1041,train
1042,train
1043,train
1044,validation
1045,train
1046,train
1047,train
1048,train
1049,train
1050,train
1051,train
1052,train
1053,train
1054,train
1055,train
1056,validation
1057,train
1058,train
1059,validation
1060,validation
1061,validation
1062,train
1063,train
1064,validation
1065,train
1066,validation
1067,train
1068,train
1069,validation
1070,validation
1071,train
1072,train
1073,validation
1074,train
1075,train
1076,train
1077,train
1078,train
1079,train
1080,validation
1081,train
1082,train
1083,train
1084,train
1085,train
1086,train
1087,validation
1088,train
1089,train
1090,train
1091,train
1092,train
1093,train
1094,train
1095,train
1096,train
1097,train
1098,train
1099,validation
1100,train
1101,train
1102,validation
1103,train
1104,train
1105,train
1106,train
1107,train
1108,train
1109,train
1110,train
1111,validation
1112,validation
1113,train
1114,train
1115,train
1116,train
1117,train
1118,validation
1119,train
1120,train
1121,train
1122,train
1123,train
1124,train
1125,train
1126,train
1127,validation
1128,train
1129,train
1130,validation
1131,train
1132,train
1133,train
1134,train
1135,train
1136,train
1137,validation
1138,train
1139,train
1140,train
1141,train
1142,train
1143,train
1144,validation
1145,train
1146,train
1147,train
1148,train
1149,train
1150,validation
1151,validation
1152,train
1153,train
1154,train
1155,train
1156,train
1157,train
1158,train
1159,train
1160,train
1161,train
1162,train
1163,train
1164,train
1165,train
1166,train
1167,validation
1168,validation
1169,train
1170,train
1171,train
1172,train
1173,validation
1174,train
1175,train
1176,train
1177,train
1178,train
1179,train
1180,train
1181,train
1182,train
1183,train
1184,train
1185,train
1186,train
1187,train
1188,train
1189,train
1190,validation
1191,validation
1192,train
1193,train
1194,train
1195,train
1196,train
1197,train
1198,train
1199,train
1200,train
1201,train
1202,validation
1203,train
1204,train
1205,train
1206,train
1207,train
1208,validation
1209,validation
1210,train
1211,train
1212,train
1213,train
1214,train
1215,train
1216,train
1217,train
1218,train
1219,validation
1220,validation
1221,train
1222,validation
1223,train
1224,train
1225,train
1226,train
1227,train
1228,train
1229,train
1230,train
1231,train
1232,validation
1233,train
1234,train
1235,train
1236,validation
1237,validation
1238,validation
1239,train
1240,train
1241,train
1242,train
1243,train
1244,train
1245,train
1246,train
1247,train
1248,train
1249,train
1250,train
1251,train
1252,train
1253,train
1254,train
1255,train
1256,validation
1257,train
1258,train
1259,validation
1260,validation
1261,train
1262,validation
1263,validation
1264,train
1265,train
1266,train
1267,train
1268,validation
1269,validation
1270,train
1271,train
1272,train
1273,validation
1274,validation
1275,train
1276,train
1277,validation
1278,validation
1279,train
1280,train
1281,train
1282,validation
1283,train
1284,train
1285,train
1286,train
1287,validation
1288,train
1289,validation
1290,validation
1291,train
1292,train
1293,train
1294,train
1295,train
1296,train
1297,train
1298,train
1299,validation
1300,train
1301,train
1302,train
1303,train
1304,train
1305,train
1306,train
1307,train
1308,train
1309,train
1310,train
1311,train
1312,validation
1313,train
1314,train
1315,validation
1316,train
1317,train
1318,train
1319,train
1320,validation
1321,train
1322,train
1323,train
1324,validation
1325,train
1326,validation
1327,train
1328,train
1329,train
1330,train
1331,validation
1332,train
1333,train
1334,train
1335,train
1336,train
1337,validation
1338,train
1339,train
1340,train
1341,train
1342,train
1343,train
1344,train
1345,train
1346,train
1347,train
1348,train
1349,train
1350,train
1351,train
1352,train
1353,train
1354,validation
1355,train
1356,train
1357,train
1358,train
1359,train
1360,train
1361,validation
1362,train
