model_id,split
525,train
526,train
527,train
528,train
529,validation
530,train
531,validation
532,train
533,validation
534,train
535,train
536,train
537,validation
538,train
539,train
540,train
541,validation
542,validation
543,validation
544,train
545,train
546,train
547,train
548,validation
549,validation
550,train
551,train
552,train
553,train
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,train
563,validation
564,train
565,train
566,train
567,train
568,train
569,validation
570,train
571,train
572,validation
573,train
574,train
575,train
576,train
577,train
578,train
579,train
580,validation
581,train
582,train
583,validation
584,train
585,train
586,train
587,validation
588,validation
589,train
590,train
591,train
592,train
593,validation
594,train
595,train
596,train
597,train
598,train
599,train
600,train
601,train
602,train
603,train
604,train
605,train
606,validation
607,train
608,train
609,validation
610,validation
611,validation
612,train
613,validation
614,train
615,train
616,validation
617,validation
618,train
619,train
620,train
621,train
622,train
623,train
624,train
625,train
626,train
627,train
628,train
629,train
630,train
631,train
632,train
633,validation
634,validation
635,train
636,train
637,train
638,validation
639,train
640,train
641,train
642,train
643,validation
644,train
645,train
646,train
647,train
648,validation
649,train
650,train
651,train
652,train
653,train
655,validation
656,train
657,validation
658,train
659,validation
660,train
661,train
662,validation
663,train
664,train
665,train
666,validation
667,validation
668,validation
669,train
670,train
671,train
672,train
673,train
674,train
675,train
676,validation
677,validation
678,train
679,validation
680,train
681,validation
682,train
683,train
684,train
685,train
686,validation
687,train
688,validation
689,train
690,train
691,train
692,train
693,train
694,train
695,validation
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,validation
704,train
705,train
706,validation
707,train
708,train
709,train
710,validation
711,train
712,train
713,train
714,train
715,train
716,validation
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,train
725,validation
726,train
727,train
728,validation
729,train
730,train
731,train
732,validation
733,validation
734,validation
735,train
736,train
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,validation
745,train
746,train
747,train
748,train
749,train
750,train
751,train
752,train
753,train
754,train
755,validation
756,validation
757,train
758,train
759,train
760,validation
761,train
762,train
763,train
764,train
765,train
766,train
767,train
768,validation
769,train
770,train
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,validation
781,train
782,train
783,train
784,train
785,train
786,train
787,validation
788,train
789,train
790,validation
791,train
792,train
793,train
794,validation
795,train
796,train
797,train
798,train
799,validation
800,train
801,train
802,train
803,train
804,train
805,validation
806,train
807,validation
808,train
809,validation
810,train
811,train
812,train
813,train
814,validation
815,validation
816,train
817,validation
818,validation
819,train
820,train
821,train
822,validation
823,train
824,train
825,validation
826,train
827,train
828,train
829,validation
830,train
831,train
832,train
833,validation
834,train
835,train
836,train
837,validation
838,train
839,train
840,train
841,train
842,train
843,train
844,train
845,validation
846,train
847,train
848,train
849,train
850,train
851,train
852,train
853,train
854,validation
855,train
856,train
857,train
858,train
859,validation
860,train
861,validation
862,train
863,train
864,train
865,train
866,train
867,validation
868,train
869,train
870,train
871,train
872,train
873,validation
874,train
875,train
876,train
877,train
878,train
879,train
880,train
881,train
882,train
883,train
884,train
885,train
886,train
887,train
888,train
889,train
890,train
891,validation
892,train
893,validation
894,validation
895,train
896,validation
897,train
898,train
899,train
900,train
901,train
902,validation
903,train
904,train
905,train
906,train
907,train
908,train
909,train
910,train
911,train
912,validation
913,train
914,train
915,train
916,validation
917,train
918,train
919,train
920,train
921,train
922,train
923,train
924,train
925,train
926,train
927,validation
928,train
929,train
930,validation
931,train
932,train
933,train
934,validation
935,train
936,train
937,train
938,validation
939,train
940,train
941,train
942,train
943,validation
944,train
945,validation
946,train
947,train
948,train
949,train
950,train
951,train
952,train
953,train
954,train
955,train
956,train
957,validation
958,train
959,train
960,validation
961,train
962,train
963,validation
964,train
965,train
966,train
967,train
968,validation
969,train
970,train
971,train
972,train
973,train
974,validation
975,train
976,train
977,train
978,train
979,train
980,train
981,train
982,train
983,validation
984,train
985,train
986,train
987,train
988,train
989,validation
990,validation
991,train
992,train
993,train
994,train
995,train
996,train
997,train
998,train
999,train
1000,train
1001,validation
1002,train
1003,validation
1004,train
1005,train
1006,train
1007,train
1008,train
1009,train
1010,validation
1011,train
1012,validation
1013,train
1014,train
1015,validation
1016,train
1017,validation
1018,train
1019,train
1020,train
1021,validation
1022,validation
1023,train
1024,train
1025,train
1026,train
1027,train
1028,train
1029,train
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,train
1037,train
1038,validation
1039,train
1040,train
1041,validation
1042,train
1043,validation
1044,validation
1045,train
1046,train
1047,train
1048,train
1049,train
1050,validation
1051,train
1052,train
1053,train
1054,train
1055,train
1056,validation
1057,train
1058,train
1059,train
1060,validation
1061,train
1062,train
1063,train
1064,train
1065,train
1066,validation
1067,train
1068,validation
1069,train
1070,train
1071,train
1072,train
1073,train
1074,train
1075,train
1076,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,train
1085,train
1086,train
1087,train
1088,train
1089,train
1090,validation
1091,train
1092,train
1093,train
1094,train
1095,train
1096,train
1097,train
1098,train
1099,train
1100,train
1101,train
1102,validation
1103,train
1104,train
1105,train
1106,validation
1107,train
1108,train
1109,validation
1110,validation
1111,train
1112,validation
1113,train
1114,train
1115,train
1116,train
1117,train
1118,train
1119,train
1120,validation
1121,train
1122,train
1123,train
1124,validation
1125,train
1126,validation
1127,train
1128,validation
1129,train
1130,train
1131,train
1132,train
1133,validation
1134,train
1135,train
1136,train
1137,train
1138,train
1139,validation
1140,train
1141,train
1142,train
1143,validation
1144,train
1145,validation
1146,train
1147,train
1148,validation
1149,train
1150,train
1151,validation
1152,train
1153,train
1154,train
1155,train
1156,validation
1157,train
1158,train
1159,train
1160,validation
1161,train
1162,train
1163,train
1164,validation
1165,train
1166,train
1167,train
1168,train
1169,train
1170,train
1171,train
1172,validation
1173,train
1174,train
1175,train
1176,train
1177,train
1178,train
1179,train
1180,train
1181,train
1182,train
1183,train
1184,validation
1185,train
1186,train
1187,validation
1188,train
1189,train
1190,train
1191,validation
1192,train
1193,validation
1194,train
1195,train
1196,train
1197,validation
1198,train
1199,train
1200,train
1201,train
1202,train
1203,train
1204,train
1205,train
1206,validation
1207,train
1208,train
1209,train
1210,validation
1211,train
1212,train
1213,train
1214,train
1215,train
1216,validation
1217,train
1218,train
1219,train
1220,train
1221,train
1222,train
1223,train
1224,validation
1225,train
1226,validation
1227,validation
1228,train
1229,train
1230,train
1231,train
1232,train
1233,train
1234,validation
1235,validation
1236,validation
1237,train
1238,train
1239,train
1240,train
1241,train
1242,train
1243,train
1244,train
1245,train
1246,train
1247,train
1248,train
1249,train
1250,train
1251,validation
1252,train
1253,train
1254,train
1255,validation
1256,validation
1257,train
1258,train
1259,train
1260,validation
1261,train
1262,train
1263,train
1264,train
1265,train
1266,validation
1267,train
1268,train
1269,train
1270,train
1271,train
1272,validation
1273,train
1274,train
1275,train
1276,validation
1277,train
1278,train
1279,train
1280,validation
1281,train
1282,validation
1283,train
1284,validation
1285,train
1286,train
1287,train
1288,train
1289,validation
1290,validation
1291,validation
1292,validation
1293,train
1294,train
1295,train
1296,train
1297,validation
1298,train
1299,train
1300,train
1301,train
1302,validation
1303,train
1304,train
1305,train
1306,train
1307,validation
1308,train
1309,train
1310,train
1311,validation
1312,train
1313,train
1314,validation
1315,train
1316,train
1317,validation
1318,train
1319,train
1320,train
1321,train
1322,train
1323,train
1324,train
1325,validation
1326,train
1327,train
1328,validation
1329,train
1330,validation
1331,validation
1332,train
1333,train
1334,train
1335,validation
1336,train
1337,validation
1338,train
1339,train
1340,validation
1341,train
1342,validation
1343,train
1344,train
1345,train
1346,train
1347,validation
1348,train
1349,train
1350,train
1351,train
1352,train
1353,train
1354,validation
1355,train
1356,train
1357,train
1358,train
1359,train
1360,train
1361,train
