model_id,split
0000,train
0001,validation
0002,train
0003,train
0004,train
0005,train
0006,train
0007,train
0008,train
0009,train
0010,train
0011,train
0012,train
0013,validation
0014,train
0015,train
0016,train
0017,train
0018,train
0019,train
0020,validation
0021,validation
0022,train
0023,train
0024,train
0025,train
0026,train
0027,train
0028,train
0029,train
0030,train
0031,train
0032,train
0033,train
0034,validation
0035,train
0036,train
0037,train
0038,train
0039,train
0040,train
0041,train
0042,train
0043,train
0044,train
0045,train
0046,train
0047,train
0048,validation
0049,validation
0050,validation
0051,train
0052,validation
0053,validation
0054,validation
0055,train
0056,train
0057,train
0058,validation
0059,train
0060,train
0061,train
0062,train
0063,train
0064,train
0065,train
0066,train
0067,train
0068,train
0069,train
0070,train
0071,validation
0072,train
0073,train
0074,train
0075,train
0076,train
0077,train
0078,train
0079,train
0080,validation
0081,train
0082,train
0083,train
0084,train
0085,train
0086,train
0087,validation
0088,validation
0089,train
0090,train
0091,validation
0092,train
0093,train
0094,train
0095,train
0096,train
0097,train
0098,train
0099,validation
0100,train
0101,train
0102,validation
0103,train
0104,train
0105,validation
0106,validation
0107,train
0108,train
0109,train
0110,train
0111,train
0112,train
0113,train
0114,train
0115,train
0116,train
0117,train
0118,train
0119,train
0120,train
0121,validation
0122,train
0123,train
0124,train
0125,train
0126,train
0127,train
0128,train
0129,train
0130,validation
0131,train
0132,train
0133,train
0134,validation
0135,train
0136,train
0137,train
0138,train
0139,train
0140,train
0141,train
0142,train
0143,train
0144,train
0145,train
0146,train
0147,train
0148,train
0149,validation
0150,train
0151,validation
0152,train
0153,train
0154,train
0155,train
0156,train
0157,train
0158,train
0159,train
0160,validation
0161,train
0162,train
0163,train
0164,train
0165,train
0166,validation
0167,train
0168,train
0169,validation
0170,train
0171,train
0172,train
0173,train
0174,validation
0175,train
0176,train
0177,train
0178,train
0179,train
0180,train
0181,train
0182,train
0183,train
0184,train
0185,train
0186,train
0187,validation
0188,train
0189,validation
0190,train
0191,validation
0192,train
0193,train
0194,train
0195,train
0196,train
0197,train
0198,train
0199,train
0200,train
0201,train
0202,train
0203,train
0204,train
0205,validation
0206,train
0207,train
0208,train
0209,train
0210,train
0211,train
0212,train
0213,train
0214,validation
0215,train
0216,train
0217,train
0218,train
0219,train
0220,train
0221,train
0222,train
0223,train
0224,train
0225,train
0226,train
0227,train
0228,train
0229,train
0230,train
0231,train
0232,train
0233,train
0234,train
0235,validation
0236,train
0237,train
0238,train
0239,train
0240,train
0241,validation
0242,train
0243,validation
0244,train
0245,train
0246,train
0247,train
0248,train
0249,train
0250,train
0251,train
0252,validation
0253,train
0254,train
0255,train
0256,train
0257,validation
0258,train
0259,validation
0260,train
0261,train
0262,train
0263,validation
0264,validation
0265,train
0266,train
0267,train
0268,train
0269,train
0270,validation
0271,train
0272,train
0273,validation
0274,train
0275,train
0276,validation
0277,train
0278,train
0279,train
0280,train
0281,train
0282,train
0283,train
0284,train
0285,train
0286,train
0287,train
0288,train
0289,train
0290,train
0291,train
0292,train
0293,validation
0294,train
0295,train
0296,train
0297,train
0298,train
0299,train
0300,train
0301,train
0302,train
0303,train
0304,train
0305,train
0306,validation
0307,train
0308,validation
0309,train
0310,train
0311,train
0312,train
0313,validation
0314,train
0315,validation
0316,train
0317,train
0318,train
0319,validation
0320,train
0321,train
0322,train
0323,train
0324,train
0325,train
0326,train
0327,train
0328,validation
0329,train
0330,validation
0331,train
0332,train
0333,train
0334,train
0335,train
0336,train
0337,train
0338,train
0339,validation
0340,train
0341,train
0342,train
0343,validation
0344,validation
0345,validation
0346,train
0347,train
0348,train
0349,train
0350,train
0351,train
0352,train
0353,train
0354,train
0355,train
0356,train
0357,train
0358,train
0359,validation
0360,train
0361,train
0362,train
0363,validation
0364,train
0365,train
0366,validation
0367,train
0368,train
0369,train
0370,train
0371,train
0372,validation
0373,train
0374,train
0375,train
0376,train
0377,train
0378,train
0379,train
0380,train
0381,train
0382,train
0383,train
0384,train
0385,validation
0386,train
0387,validation
0388,train
0389,validation
0390,train
0391,train
0392,train
0393,train
0394,train
0395,train
0396,train
0397,train
0398,train
0399,train
0400,train
0401,train
0402,train
0403,train
0404,train
0405,train
0406,train
0407,train
0408,train
0409,train
0410,train
0411,train
0412,train
0413,validation
0414,train
0415,train
0416,train
0417,train
0418,train
0419,validation
0420,train
0421,train
0422,train
0423,train
0424,train
0425,train
0426,train
0427,validation
0428,train
0429,train
0430,validation
0431,train
0432,train
0433,train
0434,train
0435,validation
0436,train
0437,train
0438,train
0439,train
0440,train
0441,train
0442,train
0443,validation
0444,train
0445,validation
0446,train
0447,train
0448,train
0449,train
0450,train
0451,train
0452,train
0453,train
0454,train
0455,train
0456,train
0457,train
0458,validation
0459,validation
0460,train
0461,train
0462,train
0463,validation
0464,train
0465,validation
0466,validation
0467,train
0468,train
0469,train
0470,train
0471,train
0472,train
0473,train
0474,validation
0475,validation
0476,train
0477,train
0478,train
0479,train
0480,validation
0481,train
0482,train
0483,train
0484,train
0485,train
0486,train
0487,train
0488,train
0489,train
0490,train
0491,validation
0492,train
0493,train
0494,train
0495,train
0496,train
0497,train
0498,validation
0499,train
0500,validation
0501,train
0502,train
0503,train
0504,train
0505,train
0506,train
0507,train
0508,validation
0509,train
0510,validation
0511,train
0512,train
0513,train
0514,train
0515,train
0516,train
0517,train
0518,train
0519,validation
0520,train
0521,train
0522,validation
0523,train
0524,train
